Date,Time,Ticker,Open,High,Low,Close,Volume ,Day_close,Day_open,candle_open,Gap_down,Threshold,SL,Signal,Exit_price,Entry_price,Returns
10/23/2008 0:00,8/7/2018 13:00,$VIX,69.69,71.26,69.25,70.91,20,,,,,67.42,70.04,,,,
11/19/2008 0:00,8/7/2018 10:35,$VIX,68.32,68.84,68.32,68.7,16,,,,,67.45,68.56,,,,
11/24/2008 0:00,8/7/2018 15:45,$VIX,61.92,63.37,61.83,63.37,20,,,,,69.84,71.35,Sell,63.37,69.84,0.092640321
11/11/2008 0:00,8/7/2018 15:45,$VIX,61.87,61.87,61.26,61.27,19,,,,,59.98,63.42,,,,
10/31/2008 0:00,8/7/2018 15:45,$VIX,61.23,61.61,60.36,61.23,18,,,,,62.93,65.67,Sell,61.23,62.93,0.027014142698236186
12/3/2008 0:00,8/7/2018 15:45,$VIX,61.19,61.45,61.11,61.11,20,,,,,62.98,65.37,Sell,61.11,62.98,0.029691966
12/5/2008 0:00,8/7/2018 15:45,$VIX,60.02,60.02,59.54,59.97,19,,,,,63.64,64.9,Sell,59.97,63.64,0.057668133
12/8/2008 0:00,8/7/2018 10:15,$VIX,59.11,59.25,58.92,59.16,18,,,,,57.94,59.2,,,,
10/21/2008 0:00,8/7/2018 12:15,$VIX,56.16,56.24,55.95,56.04,19,,,,,52.95,56.18,,,,
12/11/2008 0:00,8/7/2018 9:50,$VIX,53.89,55.77,53.75,55.77,13,,,,,54.51,55.43,Sell,55.43,54.51,-0.016877637
12/12/2008 0:00,8/7/2018 15:45,$VIX,55.2,55.39,55.05,55.38,19,,,,,55.78,58.84,Sell,55.38,55.78,0.007171029
3/6/2009 0:00,8/7/2018 10:35,$VIX,49.98,50.23,49.86,50.07,20,,,,,47.69,50.17,,,,
3/9/2009 0:00,8/7/2018 15:45,$VIX,49.81,49.88,49.75,49.79,18,,,,,49.35,51.34,,,,
3/4/2009 0:00,8/7/2018 13:05,$VIX,47.83,48.07,47.83,47.87,16,,,,,47.07,48.04,,,,
1/16/2009 0:00,8/7/2018 15:45,$VIX,46.59,46.59,46.3,46.32,17,,,,,47.21,51,Sell,46.32,47.21,0.018851938
2/11/2009 0:00,8/7/2018 15:45,$VIX,44.96,44.97,44.88,44.88,12,,,,,46.03,46.67,Sell,44.88,46.03,0.024983706
1/13/2009 0:00,8/7/2018 15:45,$VIX,44.45,44.7,44.38,44.58,15,,,,,45.84,47.08,Sell,44.58,45.84,0.027486911
12/30/2008 0:00,8/7/2018 10:00,$VIX,44.1,44.29,44.1,44.1,17,,,,,43.91,44.12,,,,
3/11/2009 0:00,8/7/2018 14:15,$VIX,43.52,43.94,43.5,43.83,19,,,,,43.18,43.71,,,,
3/31/2009 0:00,8/7/2018 15:45,$VIX,43.31,43.59,43.31,43.58,13,,,,,43.73,45.54,Sell,43.58,43.73,0.003430139
12/23/2008 0:00,8/7/2018 11:25,$VIX,42.96,43.41,42.96,43.4,15,,,,,42.74,43.34,,,,
12/26/2008 0:00,8/7/2018 15:45,$VIX,43.19,43.23,43.19,43.22,12,,,,,43.82,44.36,Sell,43.22,43.82,0.013692377909630337
1/8/2009 0:00,8/7/2018 15:45,$VIX,43.08,43.09,42.95,42.95,16,,,,,43.38,44.54,Sell,42.95,43.38,0.009912402
2/12/2009 0:00,8/7/2018 15:45,$VIX,42.59,42.78,42.58,42.78,17,,,,,44.52,47.07,Sell,42.78,44.52,0.039083557951482516
1/30/2009 0:00,8/7/2018 9:55,$VIX,42.2,42.69,42.19,42.69,15,,,,,42.21,42.65,Sell,42.65,42.21,-0.01042407
1/27/2009 0:00,8/7/2018 15:45,$VIX,42.28,42.3,42.27,42.28,6,,,,,42.35,45.11,Sell,42.28,42.35,0.001652893
2/13/2009 0:00,8/7/2018 11:10,$VIX,41.1,42.11,41.09,42.11,11,,,,,41.25,41.83,Sell,41.83,41.25,-0.014060606
9/26/2011 0:00,8/7/2018 15:45,$VIX,39.5,39.5,39.3,39.35,14,,,,,40.81,41.53,Sell,39.35,40.81,0.035775545209507494
12/31/2008 0:00,8/7/2018 15:45,$VIX,38.98,39.35,38.97,39.13,19,,,,,40.85,41.63,Sell,39.13,40.85,0.042105263157894715
9/30/2008 0:00,8/7/2018 15:45,$VIX,39.28,39.28,38.91,38.92,17,,,,,42.63,43.8,Sell,38.92,42.63,0.087027915
1/6/2009 0:00,8/7/2018 10:10,$VIX,37.98,38.3,37.98,38.3,17,,,,,37.91,38.18,,,,
4/9/2009 0:00,8/7/2018 11:30,$VIX,37.44,37.65,37.44,37.64,13,,,,,37.22,37.58,,,,
4/22/2009 0:00,8/7/2018 15:45,$VIX,37.24,37.52,37.23,37.46,19,,,,,37.14,38.11,,,,
9/13/2011 0:00,8/7/2018 15:45,$VIX,36.99,37.01,36.97,36.97,8,,,,,38.42,39.36,Sell,36.97,38.42,0.037740760020822564
9/27/2011 0:00,8/7/2018 15:20,$VIX,36.42,37.04,36.39,36.98,17,,,,,36.36,36.9,,,,
4/24/2009 0:00,8/7/2018 10:20,$VIX,36.68,36.88,36.68,36.83,17,,,,,36.56,36.86,,,,
6/8/2010 0:00,8/7/2018 10:35,$VIX,36.43,36.62,36.43,36.62,13,,,,,35.83,36.56,,,,
10/7/2011 0:00,8/7/2018 11:10,$VIX,35.97,36.12,35.92,36.12,14,,,,,35.55,36.08,,,,
4/16/2009 0:00,8/7/2018 15:45,$VIX,35.63,35.72,35.6,35.72,13,,,,,36.04,36.24,Sell,35.72,36.04,0.008879023
10/20/2011 0:00,8/7/2018 10:45,$VIX,34.9,35.21,34.9,35.2,11,,,,,34.44,35.1,,,,
5/4/2009 0:00,8/7/2018 15:45,$VIX,34.84,34.96,34.84,34.91,12,,,,,35.3,36.24,Sell,34.91,35.3,0.011048158640226648
6/30/2010 0:00,8/7/2018 15:40,$VIX,33.78,34.3,33.78,34.3,17,,,,,33.07,33.95,,,,
9/7/2011 0:00,8/7/2018 15:45,$VIX,33.64,33.65,33.64,33.65,2,,,,,34.21,34.44,Sell,33.65,34.21,0.016369482607424796
11/18/2011 0:00,8/7/2018 12:05,$VIX,33.4,33.63,33.4,33.58,14,,,,,33.14,33.43,,,,
5/6/2009 0:00,8/7/2018 10:25,$VIX,33.33,33.42,33.29,33.41,13,,,,,32.9,33.36,,,,
9/19/2008 0:00,8/7/2018 11:25,$VIX,32.99,33.08,32.75,32.75,14,,,,,28.11,33.07,,,,
10/21/2011 0:00,8/7/2018 13:10,$VIX,32.76,32.91,32.76,32.82,10,,,,,32.68,32.87,,,,
9/25/2008 0:00,8/7/2018 15:45,$VIX,32.57,32.77,32.56,32.71,16,,,,,34.16,35.19,Sell,32.71,34.16,0.042447307
5/26/2010 0:00,8/7/2018 14:30,$VIX,31.94,32.61,31.92,32.5,17,,,,,30.09,32.54,,,,
5/8/2009 0:00,8/7/2018 10:20,$VIX,32.26,32.38,32.23,32.38,16,,,,,31.77,32.38,,,,
6/9/2010 0:00,8/7/2018 14:55,$VIX,32.21,32.74,32.2,32.74,17,,,,,31.64,32.33,,,,
8/29/2011 0:00,8/7/2018 15:45,$VIX,32.21,32.23,32.21,32.22,7,,,,,32.82,33.81,Sell,32.22,32.82,0.018281536
7/2/2010 0:00,8/7/2018 11:40,$VIX,31.71,31.83,31.7,31.83,12,,,,,30.67,31.77,,,,
8/15/2011 0:00,8/7/2018 15:45,$VIX,31.74,31.82,31.65,31.73,15,,,,,33.08,34.83,Sell,31.73,33.08,0.040810157
5/15/2009 0:00,8/7/2018 12:15,$VIX,31.5,31.6,31.5,31.59,11,,,,,30.92,31.54,,,,
5/22/2009 0:00,8/7/2018 14:30,$VIX,31.35,31.51,31.33,31.34,12,,,,,31.15,31.45,,,,
6/10/2010 0:00,8/7/2018 12:00,$VIX,30.93,31.07,30.88,31.07,9,,,,,30.55,31.04,,,,
11/29/2011 0:00,8/7/2018 15:45,$VIX,30.69,30.69,30.65,30.65,7,,,,,31.76,32.02,Sell,30.65,31.76,0.034949622166246946
11/3/2011 0:00,8/7/2018 15:45,$VIX,30.39,30.56,30.39,30.5,13,,,,,31.38,31.89,Sell,30.5,31.38,0.02804334
11/11/2011 0:00,8/7/2018 9:55,$VIX,29.96,29.97,29.45,29.7,15,,,,,29.59,29.93,Sell,29.93,29.59,-0.011490368
6/3/2010 0:00,8/7/2018 10:20,$VIX,29.64,29.89,29.62,29.89,15,,,,,29.43,29.82,,,,
